date,year,value
Aug 1, 2015,78.228
Sep 1, 2015,112.525
Oct 1, 2015,265.061
Nov 1, 2015,197.832
Dec 1, 2015,136.837
Jan 1, 2016,78.119
Feb 1, 2016,33.239
Mar 1, 2016,73.991
Apr 1, 2016,231.782
May 1, 2016,208.648
Jun 1, 2016,93.737
Jul 1, 2016,158.738
Aug 1, 2016,294.795
Sep 1, 2016,290.058
Oct 1, 2016,277.367
Nov 1, 2016,254.122
Dec 1, 2016,169.579
